DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC,20200629184614.000000000,20200629184259.000000000,20200629183637.000000000,20200629183418.000000000,20200629183555.000000000,20200629202805.000000000,DF-20-008757,237787,D,D6,319057,,1
FIRE/DOMESTIC PERSONS REPORTED,20200629140900.000000000,20200629135101.000000000,20200629134624.000000000,20200629134308.000000000,20200629134521.000000000,20200629143235.000000000,DF-20-008749,230785,B,D2,314522,,1
FIRE/DOMESTIC,20200627190916.000000000,20200627190359.000000000,20200627185935.000000000,20200627185630.000000000,20200627185755.000000000,20200627193413.000000000,DF-20-008683,237866,D,D6,319036,,1
FIRE/DOMESTIC,20200627140844.000000000,20200627140608.000000000,20200627140102.000000000,20200627135503.000000000,20200627135933.000000000,20200627142317.000000000,DF-20-008677,237600,D,D4,319007,,1
FIRE/DOMESTIC,20200627025208.000000000,20200627025055.000000000,20200627024313.000000000,20200627023941.000000000,20200627024054.000000000,20200627032946.000000000,DF-20-008665,241437,D,D6,323598,,1
FIRE/DOMESTIC PERSONS REPORTED,20200627000847.000000000,20200627000642.000000000,20200627000307.000000000,20200626235827.000000000,20200627000152.000000000,20200627001245.000000000,DF-20-008662,231977,B,D2,313769,,1
FIRE/DOMESTIC,20200625200353.000000000,20200625185541.000000000,20200625184632.000000000,20200625184139.000000000,20200625184442.000000000,20200625201131.000000000,DF-20-008604,226333,B,D7,303873,,1
FIRE/DOMESTIC,20200625161109.000000000,20200625154727.000000000,20200625154235.000000000,20200625153911.000000000,20200625154124.000000000,20200625161244.000000000,DF-20-008599,240862,F,D5,313851,,1
FIRE/DOMESTIC,20200625143013.000000000,20200625142452.000000000,20200625141947.000000000,20200625141537.000000000,20200625141818.000000000,20200625163055.000000000,DF-20-008597,237516,D,D6,318933,,1
FIRE/DOMESTIC,20200625024419.000000000,20200625023903.000000000,20200625023400.000000000,20200625022843.000000000,20200625023209.000000000,20200625030139.000000000,DF-20-008585,227663,B,D7,306616,,1
FIRE/DOMESTIC,20200624223759.000000000,20200624223127.000000000,20200624222508.000000000,20200624222216.000000000,20200624222341.000000000,20200624235923.000000000,DF-20-008580,226153,B,D7,308915,,1
FIRE/DOMESTIC,20200624183625.000000000,20200624181417.000000000,20200624180817.000000000,20200624180535.000000000,20200624180724.000000000,20200624184030.000000000,DF-20-008571,240593,D,D6,320001,,1
FIRE/DOMESTIC,20200624160422.000000000,20200624155050.000000000,20200624154130.000000000,20200624153830.000000000,20200624154021.000000000,20200624163115.000000000,DF-20-008568,263834,F,D23,318682,,1
FIRE/DOMESTIC,20200623184154.000000000,20200623183003.000000000,20200623182659.000000000,20200623182351.000000000,20200623182536.000000000,20200623203254.000000000,DF-20-008529,232035,B,D2,315677,,1
FIRE/DOMESTIC PERSONS REPORTED,20200623161957.000000000,20200623150958.000000000,20200623150719.000000000,20200623150506.000000000,20200623150609.000000000,20200623163300.000000000,DF-20-008523,232970,B,D2,312535,,1
FIRE/DOMESTIC,20200621125312.000000000,20200621123144.000000000,20200621122429.000000000,20200621122109.000000000,20200621122350.000000000,20200621130049.000000000,DF-20-008423,227405,B,D7,310595,,1
FIRE/DOMESTIC,20200621052534.000000000,20200621041521.000000000,20200621040843.000000000,20200621040418.000000000,20200621040611.000000000,20200621053539.000000000,DF-20-008419,230780,A,D8,315918,,1
FIRE/DOMESTIC,20200620133444.000000000,20200620110045.000000000,20200620105459.000000000,20200620105158.000000000,20200620105358.000000000,20200620134253.000000000,DF-20-008380,225296,A,D12,322382,,1
FIRE/CARAVAN,20200619231304.000000000,20200619230129.000000000,20200619225450.000000000,20200619225219.000000000,20200619225312.000000000,20200619231918.000000000,DF-20-008359,230574,B,D7,304508,,1
FIRE/DOMESTIC,20200619043440.000000000,20200619040051.000000000,20200619035446.000000000,20200619034936.000000000,20200619035256.000000000,20200619044057.000000000,DF-20-008337,233835,B,D2,311329,,1
FIRE/DOMESTIC PERSONS REPORTED,20200618010819.000000000,20200618004555.000000000,20200618003937.000000000,20200618003800.000000000,20200618003824.000000000,20200618011305.000000000,DF-20-008293,233717,B,D7,304923,,1
FIRE/CARAVAN,20200617231007.000000000,20200617230056.000000000,20200617224721.000000000,20200617224406.000000000,20200617224638.000000000,20200617233802.000000000,DF-20-008285,232980,B,D7,304844,,1
FIRE/DOMESTIC PERSONS REPORTED,20200617231449.000000000,20200617221816.000000000,20200617221515.000000000,20200617221112.000000000,20200617221350.000000000,20200617231812.000000000,DF-20-008281,232643,B,D2,315823,,1
FIRE/DOMESTIC PERSONS REPORTED,20200617181955.000000000,20200617175359.000000000,20200617174732.000000000,20200617174027.000000000,20200617174556.000000000,20200617184739.000000000,DF-20-008272,232593,B,D7,308130,,1
FIRE/DOMESTIC,20200616195811.000000000,20200616195151.000000000,20200616194945.000000000,20200616194633.000000000,20200616194805.000000000,20200616200626.000000000,DF-20-008234,235850,C,D3,314952,,1
FIRE/DOMESTIC PERSONS REPORTED,20200616032021.000000000,20200616031420.000000000,20200616031119.000000000,20200616030808.000000000,20200616030849.000000000,20200616032542.000000000,DF-20-008209,239203,C,D9,306282,,1
FIRE/DOMESTIC PERSONS REPORTED,20200616002149.000000000,20200615235251.000000000,20200615234306.000000000,20200615233612.000000000,20200615234140.000000000,20200616003521.000000000,DF-20-008205,233326,B,D7,307638,,1
FIRE/CARAVAN,20200616003155.000000000,20200615231907.000000000,20200615231037.000000000,20200615230726.000000000,20200615230940.000000000,20200616003915.000000000,DF-20-008198,234379,B,D7,306620,,1
FIRE/DOMESTIC,20200615112052.000000000,20200615090722.000000000,20200615085853.000000000,20200615085526.000000000,20200615085725.000000000,20200615114934.000000000,DF-20-008139,260732,F,D24,322904,,1
FIRE/DOMESTIC PERSONS REPORTED,20200615030522.000000000,20200615023731.000000000,20200615023549.000000000,20200615023218.000000000,20200615023342.000000000,20200615030711.000000000,DF-20-008131,238827,F,D5,312829,,1
FIRE/DOMESTIC,20200613164325.000000000,20200613155939.000000000,20200613155046.000000000,20200613154751.000000000,20200613154913.000000000,20200613164338.000000000,DF-20-008058,227512,B,D7,306741,,1
FIRE/DOMESTIC,20200613114939.000000000,20200613111839.000000000,20200613111541.000000000,20200613111356.000000000,20200613111439.000000000,20200613115206.000000000,DF-20-008047,236220,C,D3,314729,,1
FIRE/DOMESTIC,20200610224707.000000000,20200610211544.000000000,20200610210520.000000000,20200610210239.000000000,20200610210320.000000000,20200610225909.000000000,DF-20-007973,233815,B,D7,302883,,1
FIRE/DOMESTIC,20200610195410.000000000,20200610191359.000000000,20200610190652.000000000,20200610190348.000000000,20200610190540.000000000,20200610200348.000000000,DF-20-007962,234072,C,D3,309885,,1
FIRE/DOMESTIC,20200610064914.000000000,20200610063621.000000000,20200610063118.000000000,20200610062753.000000000,20200610062901.000000000,20200610071649.000000000,DF-20-007925,240992,F,D5,314179,,1
FIRE/DOMESTIC,20200609213447.000000000,20200609210912.000000000,20200609210547.000000000,20200609210350.000000000,20200609210455.000000000,20200609214020.000000000,DF-20-007908,239377,F,D5,315093,,1
FIRE/DOMESTIC,20200608184944.000000000,20200608183502.000000000,20200608182715.000000000,20200608182336.000000000,20200608182643.000000000,20200608185550.000000000,DF-20-007837,223882,A,D12,325211,,1
FIRE/DOMESTIC,20200607195618.000000000,20200607193134.000000000,20200607191832.000000000,20200607191625.000000000,20200607191754.000000000,20200607204657.000000000,DF-20-007778,263701,F,D23,320202,,1
FIRE/DOMESTIC,20200607124134.000000000,20200607123254.000000000,20200607122621.000000000,20200607122316.000000000,20200607122443.000000000,20200607132633.000000000,DF-20-007747,234006,B,D7,309995,,1
FIRE/DOMESTIC PERSONS REPORTED,20200606210505.000000000,20200606205327.000000000,20200606204236.000000000,20200606203554.000000000,20200606204113.000000000,20200606213942.000000000,DF-20-007731,227293,B,D7,309454,,1
FIRE/DOMESTIC,20200606195247.000000000,20200606172546.000000000,20200606172419.000000000,20200606172105.000000000,20200606172304.000000000,20200606195254.000000000,DF-20-007720,235665,D,D4,317121,,1
FIRE/DOMESTIC,20200606165630.000000000,20200606165410.000000000,20200606165052.000000000,20200606164742.000000000,20200606165010.000000000,20200606180511.000000000,DF-20-007719,262901,F,D23,321267,,1
FIRE/DOMESTIC,20200606113034.000000000,20200606112036.000000000,20200606111612.000000000,20200606111330.000000000,20200606111517.000000000,20200606115021.000000000,DF-20-007700,230817,A,D1,315674,,1
FIRE/DOMESTIC,20200605162911.000000000,20200605160115.000000000,20200605155532.000000000,20200605155258.000000000,20200605155503.000000000,20200605163536.000000000,DF-20-007667,233008,B,D2,311977,,1
FIRE/DOMESTIC,20200604203243.000000000,,20200604202046.000000000,20200604201704.000000000,20200604201924.000000000,20200604204547.000000000,DF-20-007634,246977,F,D13,316526,,1
FIRE/UNDERGROUND,20200604180750.000000000,20200604175018.000000000,20200604174322.000000000,20200604174018.000000000,20200604174137.000000000,20200604191417.000000000,DF-20-007626,237837,C,D9,306492,,1
FIRE/DOMESTIC,20200604161947.000000000,20200604160509.000000000,20200604160013.000000000,20200604155645.000000000,20200604155905.000000000,20200604173325.000000000,DF-20-007613,241382,D,D6,321183,,1
FIRE/DOMESTIC,20200604142709.000000000,20200604141639.000000000,20200604141504.000000000,20200604140827.000000000,20200604141258.000000000,20200604143254.000000000,DF-20-007606,239256,F,D5,313480,,1
FIRE/DOMESTIC,20200604134332.000000000,20200604133731.000000000,20200604133108.000000000,20200604132542.000000000,20200604132927.000000000,20200604135625.000000000,DF-20-007604,240488,F,D5,314564,,1
FIRE/DOMESTIC,20200604025219.000000000,20200604023954.000000000,20200604023327.000000000,20200604023022.000000000,20200604023124.000000000,20200604025413.000000000,DF-20-007584,239447,F,D5,316211,,1
FIRE/DOMESTIC,20200603232529.000000000,20200603232521.000000000,20200603231752.000000000,20200603231508.000000000,20200603231719.000000000,20200603233338.000000000,DF-20-007583,239052,D,D6,321791,,1
FIRE/DOMESTIC,20200602190703.000000000,20200602185856.000000000,20200602185105.000000000,20200602184900.000000000,20200602185020.000000000,20200602194425.000000000,DF-20-007437,225618,B,D7,308401,,1
FIRE/DOMESTIC,20200602181107.000000000,20200602174107.000000000,20200602173817.000000000,20200602173349.000000000,20200602173523.000000000,20200602182055.000000000,DF-20-007425,236576,C,D3,313972,,1
FIRE/DOMESTIC PERSONS REPORTED,20200602170653.000000000,20200602164835.000000000,20200602164634.000000000,20200602164409.000000000,20200602164453.000000000,20200602170714.000000000,DF-20-007412,238820,F,D5,313113,,1
FIRE/DOMESTIC,20200602185303.000000000,20200602153531.000000000,20200602152633.000000000,20200602152402.000000000,20200602152538.000000000,20200602201259.000000000,DF-20-007399,227381,A,D12,326323,,1
FIRE/DOMESTIC,20200602124852.000000000,20200602123959.000000000,20200602123635.000000000,20200602123420.000000000,20200602123509.000000000,20200602150223.000000000,DF-20-007386,231257,B,D2,314320,,1
FIRE/DOMESTIC,20200601230044.000000000,20200601212422.000000000,20200601211116.000000000,20200601210850.000000000,20200601211038.000000000,20200601230049.000000000,DF-20-007342,253842,F,D24,322014,,1
FIRE/DOMESTIC,20200601190806.000000000,,20200601190421.000000000,20200601190156.000000000,20200601190350.000000000,20200601191349.000000000,DF-20-007328,237473,C,D9,308638,,1
